Time,Prognozowane zapotrzebowanie sieci,Przewidywana generacja JW i magazynów energii wiadcz¹cych us³ugi bilansuj¹ce w ramach RB (3) - (9),Prognozowana generacja JW i magazynów energii nie wiadcz¹cych us³ug bilansuj¹cych w ramach RB,Prognozowana sumaryczna generacja róde³ wiatrowych,Prognozowana sumaryczna generacja róde³ fotowoltaicznych,Planowane saldo wymiany miêdzysystemowej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹ca z ograniczeñ sieciowych wystêpuj¹cych w sieci przesy³owej oraz sieci dystrybucyjnej w zakresie dostarczania energii elektrycznej,Prognozowana wielkoæ niedyspozycyjnoci wynikaj¹cych z warunków eksploatacyjnych JW wiadcz¹cych us³ugi bilansuj¹ce w ramach RB,da1_price,day_of_week,month,hour
2023-05-05 19:00:00+00:00,17354,9932,7116,4195,241,306,0,0.0,560.0,4,5,19
2023-05-05 20:00:00+00:00,18149,10555,7196,4387,2,398,0,0.0,563.68,4,5,20
2023-05-05 21:00:00+00:00,17454,9988,7466,4661,0,0,0,0.0,552.79,4,5,21
2023-05-05 22:00:00+00:00,16096,8607,7474,4788,0,16,0,0.0,530.0,4,5,22
2023-05-05 23:00:00+00:00,14941,7721,7567,4932,0,-347,0,0.0,472.0,4,5,23
2023-05-06 00:00:00+00:00,13937,7934,7361,4769,0,-1358,0,0.0,437.01,5,5,0
2023-05-06 01:00:00+00:00,13698,7475,7445,4852,0,-1222,0,0.0,411.0,5,5,1
2023-05-06 02:00:00+00:00,13570,7373,7322,4731,0,-1125,0,0.0,400.0,5,5,2
2023-05-06 03:00:00+00:00,13573,7413,7199,4608,0,-1040,0,0.0,400.0,5,5,3
2023-05-06 04:00:00+00:00,13196,6971,7193,4600,0,-968,0,0.0,400.0,5,5,4
2023-05-06 05:00:00+00:00,13087,7196,7064,4444,58,-1172,0,0.0,400.0,5,5,5
2023-05-06 06:00:00+00:00,13719,7625,7257,4391,530,-1163,0,0.0,420.0,5,5,6
2023-05-06 07:00:00+00:00,14023,7792,7020,3680,1598,-789,0,0.0,440.0,5,5,7
2023-05-06 08:00:00+00:00,14193,7215,7178,3436,2508,-200,0,0.0,430.0,5,5,8
2023-05-06 09:00:00+00:00,14515,6898,7614,3560,3273,3,0,0.0,410.0,5,5,9
2023-05-06 10:00:00+00:00,14840,6278,8026,3868,3518,536,0,0.0,408.78,5,5,10
2023-05-06 11:00:00+00:00,14911,6195,8486,4293,3632,230,0,0.0,420.0,5,5,11
2023-05-06 12:00:00+00:00,15464,7312,8122,4281,2851,30,0,0.0,420.0,5,5,12
2023-05-06 13:00:00+00:00,15665,8031,7508,3888,2346,126,0,0.0,423.0,5,5,13
2023-05-06 14:00:00+00:00,15487,8129,7128,3637,2061,230,0,0.0,424.0,5,5,14
2023-05-06 15:00:00+00:00,15758,8706,6523,3109,1818,529,0,0.0,440.0,5,5,15
2023-05-06 16:00:00+00:00,15714,9389,6061,2801,1456,264,0,0.0,460.0,5,5,16
2023-05-06 17:00:00+00:00,15765,9305,5909,2847,967,550,0,0.0,499.89,5,5,17
2023-05-06 18:00:00+00:00,16101,9777,5469,2566,455,854,0,0.0,500.0,5,5,18
2023-05-06 19:00:00+00:00,16386,9679,5129,2295,98,1578,0,0.0,540.0,5,5,19
2023-05-06 20:00:00+00:00,17089,11196,4424,1656,1,1469,0,0.0,548.9,5,5,20
2023-05-06 21:00:00+00:00,16600,10893,4474,1719,0,1233,0,0.0,525.0,5,5,21
2023-05-06 22:00:00+00:00,14897,9143,4967,2328,0,788,0,0.0,482.0,5,5,22
2023-05-06 23:00:00+00:00,13690,8322,5043,2452,0,326,0,0.0,450.0,5,5,23
2023-05-07 00:00:00+00:00,13022,8155,4780,2198,0,87,0,0.0,430.0,6,5,0
2023-05-07 01:00:00+00:00,12377,7462,4698,2147,0,217,0,0.0,415.0,6,5,1
2023-05-07 02:00:00+00:00,11903,6871,4682,2133,0,350,0,0.0,390.0,6,5,2
2023-05-07 03:00:00+00:00,11741,6937,4653,2103,0,151,0,0.0,390.0,6,5,3
2023-05-07 04:00:00+00:00,11681,6829,4786,2234,0,66,0,0.0,390.0,6,5,4
2023-05-07 05:00:00+00:00,11315,6712,4899,2323,45,-296,0,0.0,375.0,6,5,5
2023-05-07 06:00:00+00:00,11277,6456,5118,2347,488,-297,0,0.0,380.0,6,5,6
2023-05-07 07:00:00+00:00,11583,6726,5006,1626,1604,-149,0,0.0,381.0,6,5,7
2023-05-07 08:00:00+00:00,11830,6768,5033,1067,2889,30,0,0.0,380.0,6,5,8
2023-05-07 09:00:00+00:00,11908,6157,5722,1235,4177,30,0,0.0,340.0,6,5,9
2023-05-07 10:00:00+00:00,12339,5602,6707,1945,4872,30,0,0.0,300.0,6,5,10
2023-05-07 11:00:00+00:00,12911,6129,6752,2016,4910,30,0,0.0,254.37,6,5,11
2023-05-07 12:00:00+00:00,13188,6805,6353,1806,4530,30,0,0.0,235.2,6,5,12
2023-05-07 13:00:00+00:00,13356,7225,6101,1676,4278,31,0,0.0,235.2,6,5,13
2023-05-07 14:00:00+00:00,13222,7307,5885,1561,3986,30,0,0.0,235.2,6,5,14
2023-05-07 15:00:00+00:00,12479,6615,5932,1579,4008,-68,0,0.0,251.1,6,5,15
2023-05-07 16:00:00+00:00,12394,6662,5702,1643,3269,30,0,0.0,310.0,6,5,16
2023-05-07 17:00:00+00:00,12896,7265,5600,1895,2331,30,0,0.0,437.65,6,5,17
2023-05-07 18:00:00+00:00,14173,8923,4730,1497,1020,520,0,0.0,440.0,6,5,18
2023-05-07 19:00:00+00:00,15186,10180,4435,1471,201,572,0,0.0,490.0,6,5,19
2023-05-07 20:00:00+00:00,15745,11057,4394,1545,2,293,0,0.0,499.5,6,5,20
2023-05-07 21:00:00+00:00,15862,11049,4688,1838,0,126,0,0.0,485.0,6,5,21
2023-05-07 22:00:00+00:00,14748,9925,4706,2010,0,118,0,0.0,461.0,6,5,22
2023-05-07 23:00:00+00:00,13619,8299,4769,2060,0,551,0,0.0,439.99,6,5,23
2023-05-08 00:00:00+00:00,12836,7757,4899,2255,0,180,0,0.0,480.0,0,5,0
2023-05-08 01:00:00+00:00,12686,7766,4714,2080,0,205,0,0.0,470.0,0,5,1
